# Logfile created on 2015-06-08 17:03:05 +0800 by logger.rb/44203
I, [2015-06-08 17:03:05#10850]  INFO -- : SUCCESS, Image /ROR/image/admin/astronaut.jpg Create Success!!
I, [2015-06-12 03:20:18#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/48/00001.jpg Create Success!!
I, [2015-06-12 03:20:18#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/149/00001.jpg Create Success!!
I, [2015-06-12 03:20:18#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/106/00001.jpg Create Success!!
I, [2015-06-12 03:20:18#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/195/00001.jpg Create Success!!
I, [2015-06-12 03:20:18#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/45/00001.jpg Create Success!!
I, [2015-06-12 03:20:18#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/197/00001.jpg Create Success!!
I, [2015-06-12 03:20:18#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/71/00001.jpg Create Success!!
I, [2015-06-12 03:20:19#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/198/00001.jpg Create Success!!
I, [2015-06-12 03:20:19#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/140/00001.jpg Create Success!!
I, [2015-06-12 03:20:19#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/102/00001.jpg Create Success!!
I, [2015-06-12 03:20:19#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/52/00001.jpg Create Success!!
I, [2015-06-12 03:20:19#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/158/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/146/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/28/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/82/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/24/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/166/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/179/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/162/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/73/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/76/00001.jpg Create Success!!
I, [2015-06-12 03:20:20#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/155/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/193/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/199/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/2/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/167/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/1/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/27/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/59/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/194/00001.jpg Create Success!!
I, [2015-06-12 03:20:21#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/125/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/7/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/30/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/177/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/129/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/153/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/21/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/138/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/41/00001.jpg Create Success!!
I, [2015-06-12 03:20:22#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/132/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/163/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/170/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/57/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/79/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/109/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/116/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/110/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/77/00001.jpg Create Success!!
I, [2015-06-12 03:20:23#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/23/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/107/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/40/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/75/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/171/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/91/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/26/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/185/00001.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/42/00001.jpg Create Success!!
